Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0761/028,San Francisco FCU,770 Golden Gate Ave,94102,"770 Golden Gate Ave
San Francisco, CA 94102
(37.780657, -122.423352)",37500,Office,http://propertymap.sfplanning.org/?&search=0761/028,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,36,95.8,203.5,16.1,16.1,232.8,6.2,95.8,203.5,24,115.2,232.8,32.8,32.8,286.5,7.6,114.4,230.2,36,93.9,199.7,15.2,15.2,238.6,6.4,95,197.4,38,100.7,204.5,13.5,13.5,250.9,6.7,100.7,204.5,31,109.1,233.4,22,,291.03,,109.1,233.4,,,,,,,,,
0141/003B,100 Broadway,100 BROADWAY,94111,"100 BROADWAY
San Francisco, CA 94111
(37.798682, -122.400222)",24000,Office,http://propertymap.sfplanning.org/?&search=0141/003B,Complied,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Pending,,,91,29.1,85.4,-46.9,-46.9,58.3,2.4,29.1,85.4,,,,,,,,,,,,,,,,,,,,8.4,19.5,-86.9,-86.8,15,0.6,8.4,19.5,,,,,,,,,,,,,,,,,,
0224/004,827 STOCKTON ST,827 STOCKTON ST,94108,"827 STOCKTON ST
San Francisco, CA 94108
(37.793542, -122.407802)",16716,K-12 School,http://propertymap.sfplanning.org/?&search=0224/004,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,100,4.6,14.5,-85.7,-85.7,5.8,0.3,4.6,14.5,100,5.2,15.7,-84.6,-84.6,6.5,0.4,5.2,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0270/042,Orchard Garden Hotel,466 BUSH ST,94108,"466 BUSH ST
San Francisco, CA 94108
(37.790615, -122.40519)",55751,Hotel,http://propertymap.sfplanning.org/?&search=0270/042,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2019-04-01T00:00:00,Upcoming,,,,,,,,,,,,96,37.5,109,-49.9,-49.9,163.8,2.9,36.9,107,93,42.4,122.1,-42.9,-42.9,184.3,3.3,42.4,122.1,,,,,,,,,,89,48.6,146.2,-37.9,,231.37,,49.2,148.3,,,,,,,,,
0293/005,126 Post Street Building,126 POST ST,94108,"126 POST ST
San Francisco, CA 94108
(37.788816, -122.404252)",43354,Office,http://propertymap.sfplanning.org/?&search=0293/005,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,38.9,121.4,-18,-18,136.9,3.4,39.1,121.6,,41.8,130.9,-11.6,-11.6,138.5,3.4,41.8,130.9,,,,,,,,,,,33.6,89.1,-27.6,-27.6,100.8,2.7,33.6,89.1,,32.9,89.8,-53,,99.97,,32.9,89.8,,,,,,,,,
3517/035,1401 HOWARD ST,1401 HOWARD ST,94103,"1401 HOWARD ST
San Francisco, CA 94103
(37.773889, -122.414554)",49011,,http://propertymap.sfplanning.org/?&search=3517/035,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,2019-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3610/019,2485 MISSION ST,2485 MISSION ST,94110,"2485 MISSION ST
San Francisco, CA 94110
(37.75724, -122.418919)",16996,Strip Mall,http://propertymap.sfplanning.org/?&search=3610/019,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Pending,,,,,,,,,,,,,69.2,138.7,,,77.7,4.6,70.1,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0298/001,701 Sutter Street,701 SUTTER ST,94109,"701 SUTTER ST
San Francisco, CA 94109
(37.788797, -122.412031)",19945,Office,http://propertymap.sfplanning.org/?&search=0298/001,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,86,48.5,112.7,-40,-40,68.1,3.4,51.6,115.9,76,51.1,129.7,-27.4,-27.4,74.7,3.7,55.8,134.6,77,56.5,131.9,-28.3,-28.2,83.9,4.2,56.9,132.3,,,,,,,,,,,,,,,,,,
0238/006,350 Sansome,350 SANSOME ST,94104,"350 SANSOME ST
San Francisco, CA 94104
(37.793723, -122.401286)",116050,Office,http://propertymap.sfplanning.org/?&search=0238/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,,56.1,132.7,-10.4,-10.4,483.6,4.2,59.2,136,,53.9,128.4,-13.3,-13.3,445.6,3.8,55.6,129.7,,63.6,138.6,-6.4,-6.4,505.5,4.4,69.5,144.7,,74.8,154.9,4.6,4.6,581.3,5,75.1,155.2,76,70.2,162.9,-27.9,,604.01,,68.5,161.1,78,64.3,,-30.2,,546.42,,63.6,
0136/001,55 Green St,55 GREEN ST,94111,"55 GREEN ST
San Francisco, CA 94111
(37.800582, -122.400527)",45000,Office,http://propertymap.sfplanning.org/?&search=0136/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,42,86.1,199.7,8.7,8.7,285.1,6.3,86.1,199.7,37,91.9,214.6,14.7,14.7,292,6.5,91.9,214.6,34,88.4,217.5,18,18,287.5,6.4,89.7,216.8,37,90.1,215.6,14.2,14.2,289.4,6.4,90.2,215.7,35,93.9,235.8,16.8,,326.43,,93.6,235.4,,,,,,,,,
3705/037,James Bong Building,825 MARKET ST,94103,"825 MARKET ST
San Francisco, CA 94103
(37.785175, -122.40659)",136850,Retail Store,http://propertymap.sfplanning.org/?&search=3705/037,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,22.2,63.7,-65.7,,252.55,,22.3,63.8,99,20.7,,-66.9,,241.08,,20.2,
3701/050,1201 MARKET ST,1201 MARKET ST,94103,"1201 MARKET ST
San Francisco, CA 94103
(37.778619, -122.41489)",10702,,http://propertymap.sfplanning.org/?&search=3701/050,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3641/070,1245 SOUTH VAN NESS AVE,1245 SOUTH VAN NESS AVE,94110,"1245 SOUTH VAN NESS AVE
San Francisco, CA 94110
(37.753188, -122.416338)",30653,,http://propertymap.sfplanning.org/?&search=3641/070,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Exempt - Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0355/006,1242 Market Street,1240 MARKET ST,94102,"1240 MARKET ST
San Francisco, CA 94102
(37.77812, -122.415519)",11690,Office,http://propertymap.sfplanning.org/?&search=0355/006,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,89,31,70,-44,-44,26.3,2.3,36.8,76,88,30.5,73.7,-41.7,-41.7,25.5,2.2,32.7,76,87,30.2,74.3,-40.5,-40.5,25.5,2.2,30.2,74.3,87,36.1,77.1,-40.8,-40.9,30,2.6,33.4,74.3,,,,,,,,,,,,,,,,,,
0175/003,729 Sansome Street,705 SANSOME ST,94133,"705 SANSOME ST
San Francisco, CA 94133
(37.796997, -122.401943)",14400,Office,http://propertymap.sfplanning.org/?&search=0175/003,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,68,37.7,108.8,-19.4,-19.4,44.9,3.1,38.7,109.8,68,40,111.9,-19.2,-19.2,44.3,3.1,40,111.9,72,37,104.1,-23.2,-23.2,41.1,2.9,37,104.1,90,27.7,77,-45,-45,32.6,2.3,27.7,77,,,,,,,,,,,,,,,,,,
0834/027,San Francisco Conservatory of Music,50 OAK ST,94102,"50 OAK ST
San Francisco, CA 94102
(37.775312, -122.420155)",90589,College/University,http://propertymap.sfplanning.org/?&search=0834/027,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Complied,,,,67.8,166.4,-36.6,-36.6,465.2,5.1,69.3,168,,62.3,158.6,-39.6,-39.6,414.7,4.6,63.8,160.1,,67.2,167.9,-36.1,-36.1,443.3,4.9,71.7,172.6,,73,177.1,-32.6,-32.6,475.1,5.2,70.7,174.7,,73.4,178.9,-31.9,-31.9,478.7,5.3,68.6,173.8,,,,,,,,,
0306/022,Hotel Zeppelin San Francisco,545 POST ST,94102,"545 POST ST
San Francisco, CA 94102
(37.787995, -122.410748)",93600,Hotel,http://propertymap.sfplanning.org/?&search=0306/022,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,93,45.6,103.9,-43.1,-43.1,311,3.3,45.6,103.9,82,55,128.4,-29.6,-29.6,379.9,4.1,55,128.4,,,,,,,,,,65,92.3,190.9,-13.3,-13.3,588.9,6.5,92.3,190.9,80,83.8,183.4,-27.8,,549.18,,83.9,183.6,78,90.4,,-25.6,,581.56,,93,
0196/016,499 JACKSON ST,499 JACKSON ST,94111,"499 JACKSON ST
San Francisco, CA 94111
(37.796455, -122.40327)",16855,Office,http://propertymap.sfplanning.org/?&search=0196/016,Exempt,Exempt - Change of Ownership,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2016-04-01T00:00:00,Complied,,,,,,,,,,,,44,80.7,154.3,5.8,5.8,88.2,5.2,88.6,163.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0236/018,256 FRONT ST,256 FRONT ST,94111,"256 FRONT ST
San Francisco, CA 94111
(37.79407, -122.398931)",63400,Office,http://propertymap.sfplanning.org/?&search=0236/018,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2013-04-01T00:00:00,Complied,,,9,111.9,317.1,70.3,70.3,580.7,9.2,114.7,320,7,119,334.1,76.1,76.1,581,9.2,119.2,332,12,107.7,296.4,58.6,58.6,520.7,8.2,110.1,298.8,12,113.7,305.3,59.5,59.6,579,9.1,113.8,305.2,11,116.3,311.9,61.5,61.5,555.2,8.8,117.1,315.4,,,,,,,,,
0327/008,Retail,34 ELLIS ST,94102,"34 ELLIS ST
San Francisco, CA 94102
(37.785643, -122.406859)",17800,Retail Store,http://propertymap.sfplanning.org/?&search=0327/008,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,47,42.6,133.8,3.1,3.1,65.8,3.7,42.3,132.8,47,42.6,133.8,3.4,3.4,61.8,3.5,41.9,131.4,42,44.3,139,10.4,10.4,64.2,3.6,42.6,133.8,51,42.6,133.7,-2.3,-2.3,66.6,3.7,43.3,136,,,,,,,,,,,,,,,,,,
3740/030,160 Folsom,160 FOLSOM ST,94105,"160 FOLSOM ST
San Francisco, CA 94105
(37.789581, -122.391617)",11567,,http://propertymap.sfplanning.org/?&search=3740/030,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609/118,BPBH LTD PARTNERSHIP,2460 MISSION ST,94110,"2460 MISSION ST
San Francisco, CA 94110
(37.757677, -122.418959)",34911,Medical Office,http://propertymap.sfplanning.org/?&search=3609/118,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Pending,,,79,42.4,120,-35,-35,81.5,3.5,42.4,119.2,79,42.5,121.6,-34.7,-34.7,77.6,3.3,41.6,118.7,75,49.5,130.4,-29.8,-29.8,86.8,3.7,47.6,124.5,82,43.3,116,-39.2,-39.1,81.6,3.5,44.4,119.2,,,,,,,,,,,,,,,,,,
0130/001,CA5-120 (Columbus Branch),1455 STOCKTON ST,94133,"1455 STOCKTON ST
San Francisco, CA 94133
(37.799328, -122.408957)",20136,Bank Branch,http://propertymap.sfplanning.org/?&search=0130/001,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,98,24.1,63.7,-60.1,-60.1,20.6,1.7,24.4,64.6,98,23.5,62.3,-61.5,-61.5,21.4,1.8,24.5,63.8,98,24.8,64,-60.3,-60.3,22.3,1.8,28.1,67.4,97,29.1,69.7,-57.9,-57.9,26.7,2.2,29.3,69.9,,,,,,,,,,,,,,,,,,
0161/039,Royal Pacific Motor Inn,661 BROADWAY,94133,"661 BROADWAY
San Francisco, CA 94133
(37.797721, -122.407848)",46479,Hotel,http://propertymap.sfplanning.org/?&search=0161/039,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,65,66,144.9,-11.6,-11.6,118.6,4.7,69,154.3,66,66.6,145.1,-12.7,-12.7,114.5,4.6,67,147.6,68,66.2,141.5,-13.6,-13.6,112.9,4.5,67.3,147.6,60,70.9,154.7,-8,-8.1,128.1,5.1,71.1,155.4,38,96.2,186.6,9.2,,164.1,,95.7,184.8,,,,,,,,,
0313/007,23 Grant Avenue,17 GRANT AVE,94108,"17 GRANT AVE
San Francisco, CA 94108
(37.787179, -122.404939)",27620,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",http://propertymap.sfplanning.org/?&search=0313/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,36.3,92.3,-8.1,-8.1,77.4,2.8,36.3,92.3,,42,107,6.6,6.6,85.3,3.1,43.5,108.5,,46.7,116.9,16.4,16.4,94,3.4,53.2,123.7,,50.3,123.1,22.7,22.6,106.1,3.8,50.7,123.6,,54.7,138.5,-21.9,,117.2,,55.3,139.1,,,,,,,,,
0814/010,50 FELL ST,50 FELL ST,94102,"50 FELL ST
San Francisco, CA 94102
(37.776459, -122.41878)",22288,Pre-school/Daycare,http://propertymap.sfplanning.org/?&search=0814/010,Complied,,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,36.1,113.3,-22.2,-22.2,69.8,3.1,37.5,117.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0175/030,731 Sansome LLC,731 SANSOME ST,94133,"731 SANSOME ST
San Francisco, CA 94133
(37.797179, -122.401979)",37063,,http://propertymap.sfplanning.org/?&search=0175/030,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,75,44.3,119.1,-26.4,-26.4,123.8,3.3,45.4,120.3,87,40.2,98.2,-41.1,-41,113.6,3.1,40.3,98.2,91,35,88.3,-47.5,-47.5,100.7,2.7,34.3,87.6,,,,,,,,,
0343/016,Turk Auto Parks,175 TURK ST,94102,"175 TURK ST
San Francisco, CA 94102
(37.783072, -122.411954)",80000,,http://propertymap.sfplanning.org/?&search=0343/016,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.6,-97.2,,14.31,,2,6.6,,1.8,,-95.2,,13.37,,1.8,
1450/008,Alexandria Theater,5400 GEARY BLVD,94121,"5400 GEARY BLVD
San Francisco, CA 94121
(37.780486, -122.47758)",18270,,http://propertymap.sfplanning.org/?&search=1450/008,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0296/012B,595 Sutter Street,595 SUTTER ST,94102,"595 SUTTER ST
San Francisco, CA 94102
(37.789062, -122.409988)",10851,Other - Recreation,http://propertymap.sfplanning.org/?&search=0296/012B,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,79.8,157.7,62.9,62.9,60.5,5.6,79.8,157.7,,81.7,152.6,57.6,57.6,58.6,5.4,82.7,153.8,,78.5,141.4,46,46,55.5,5.1,83.3,146.9,,78.9,138.3,42.8,42.8,56,5.2,78.9,138.3,,,,,,,,,,,,,,,,,,
0136/005,962 BATTERY ST,962 BATTERY ST,94111,"962 BATTERY ST
San Francisco, CA 94111
(37.800273, -122.4014)",18267,Office,http://propertymap.sfplanning.org/?&search=0136/005,Exempt,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,79,41.4,109.5,-30.9,-30.9,56.6,3.1,42.5,110.7,88,35.3,89.1,-42.8,-42.8,47.2,2.6,38.8,92.7,82,42.9,105.2,-34.3,-34.3,59.9,3.3,43.2,105.4,,,,,,,,,,,,,,,,,,
0311/013,Mechanics' Institute,57 POST ST,94104,"57 POST ST
San Francisco, CA 94104
(37.788971, -122.403066)",70769,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0311/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,30.8,64.8,-47.4,-47.4,152.7,2.2,33.3,67.4,,34,70.1,-43,-43,161,2.3,35.8,72,,37.1,72.3,-41.3,-41.3,171.4,2.4,40.1,75.4,,43.2,77.9,-36.7,-36.7,200.5,2.8,43.4,78.1,,47.9,94.2,-23.5,,231.6,,46.5,92.7,,49,,-23.7,,237.55,,48.7,
0304/005,610 GEARY ST,610 GEARY ST,94109,"610 GEARY ST
San Francisco, CA 94109
(37.786672, -122.413602)",39880,Hotel,http://propertymap.sfplanning.org/?&search=0304/005,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2015-04-01T00:00:00,Pending,,,95,62.9,92,-48.1,-48.1,149.9,3.8,67.3,96.6,97,55.9,84.5,-52.8,-52.8,132.4,3.3,58.3,87,97,57.6,83.7,-52.5,-52.5,134.5,3.4,64.5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
0296/013,575 Sutter St,575 SUTTER ST,94102,"575 SUTTER ST
San Francisco, CA 94102
(37.789094, -122.409749)",33000,Office,http://propertymap.sfplanning.org/?&search=0296/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,93,24.4,54,-50.7,-50.7,57.8,1.8,24.6,54.2,89,26.1,62.1,-43.4,-43.4,61.2,1.9,26.8,62.9,90,22.5,58.7,-45.5,-45.5,55.1,1.7,23.8,60.1,86,29.7,68.6,-40.1,-40.1,68.9,2.1,29.7,68.6,99,18.2,50.7,-69.6,,49.15,,18.2,50.7,,,,,,,,,
0264/004,One California Street,1 CALIFORNIA ST,94111,"1 CALIFORNIA ST
San Francisco, CA 94111
(37.793534, -122.397317)",607757,Office,http://propertymap.sfplanning.org/?&search=0264/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Exempt - LEED EBOM,2018-04-01T00:00:00,Exempt - LEED EBOM,95,55.1,123.8,-54.2,-54.2,2049.6,3.6,123.8,9.3,96,48.4,118.8,-56.6,-56.6,1965.4,3.5,49.6,120.1,94,53.9,127.9,-52.9,-52.9,2154.1,3.8,58,132.3,94,58.4,131.8,-52.1,-52.1,2282.9,4.1,58.8,132.1,92,65.6,154.5,-48.2,,2755.21,,63.1,151.8,88,76.3,,-41.9,,3154.03,,76.3,
0299/005,750 Post Street LLC,750 POST ST,94109,"750 POST ST
San Francisco, CA 94109
(37.787559, -122.414102)",10000,Other - Entertainment/Public Assembly,http://propertymap.sfplanning.org/?&search=0299/005,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,18.6,37.4,-56,-56,12.8,1.3,18.6,37.4,,23.1,49.1,-42.3,-42.3,15.6,1.6,24.3,50.4,,24.5,51.8,-39.1,-39.1,16.6,1.7,30.1,59.1,,33.7,65.1,-23.5,-23.5,21.9,2.2,33.7,65.1,,,,,,,,,,,,,,,,,,
0238/008,Union Bank 127 350 California,350 CALIFORNIA,94104,"350 CALIFORNIA
San Francisco, CA 94104
(37.793117, -122.400757)",348500,Financial Office,http://propertymap.sfplanning.org/?&search=0238/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - ENERGY STAR,,,95,44.1,99.7,-53.7,-53.7,1117.3,3.2,45.7,101.5,95,45.5,104.3,-54.1,-54.1,1111.8,3.2,46.6,105.5,93,49,112.3,-50,-50,1197,3.4,51.1,114.5,88,58,130.9,-42.9,-42.8,1480.2,4.2,58.2,131.1,85,63.3,142.6,-38.2,,1614.1,,62.4,141.7,87,61.8,,-41.5,,1625.78,,60.7,
0285/005,400 Sutter,400 SUTTER ST,94108,"400 SUTTER ST
San Francisco, CA 94108
(37.789394, -122.407197)",22830,Retail Store,http://propertymap.sfplanning.org/?&search=0285/005,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,39.5,95.3,-16.7,-16.7,61.3,2.7,41.2,97,,35.7,88.8,-22.4,-22.4,59.3,2.6,36.5,89.7,,24.3,70.1,-38.7,-38.7,43.4,1.9,24.3,70.1,,24,65.8,-42.6,-42.5,44.6,2,24,65.8,,,,,,,,,,,,,,,,,,
1068/002,2950 GEARY BLVD,2950 GEARY BLVD,94118,"2950 GEARY BLVD
San Francisco, CA 94118
(37.782084, -122.450847)",10633,Retail Store,http://propertymap.sfplanning.org/?&search=1068/002,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,40.2,92,-19.6,-19.6,31.2,2.9,46,98.2,,36.3,94.2,-17.7,-17.7,28.6,2.7,37.8,95.8,,33.2,94.7,-17.2,-17.2,27.4,2.6,33.2,94.7,,43.7,109.5,-4.2,-4.3,36,3.4,41.5,107.2,,,,,,,,,,,,,,,,,,
